0	1	1	1	0691
1	1	0	0	1202
1	0	1	1	1104
0	0	1	0	0197
0	1	0	0	0404
1	0	0	0	0808
1	0	1	0	0997
1	0	1	0	0997
0	0	0	0	0002
1	0	0	0	0809
0	0	1	1	0303
1	0	0	0	0807
1	0	1	1	1110
1	1	1	1	1505
1	1	1	0	1393
0	0	0	1	0094
0	1	0	1	0504
1	1	0	1	1310
0	1	1	0	0606
1	1	0	0	1209
1	0	1	0	1002
0	1	0	1	0496
0	1	1	0	0600
1	1	1	1	1503
0	1	0	0	0405
1	0	1	1	1095
0	0	0	1	0096
1	1	1	0	1395
0	0	1	0	0192
1	0	1	1	1092
1	1	1	1	1508
0	1	1	1	0701
1	1	0	0	1191
0	1	1	0	0601
1	0	0	1	0900
0	0	1	0	0209
0	1	1	1	0706
1	1	1	0	1393
0	1	1	0	0610
0	1	1	0	0604
1	1	0	0	1208
1	1	0	0	1190
1	1	1	0	1410
1	0	1	0	0997
0	0	1	1	0305
0	1	0	0	0404
1	1	1	1	1490
1	1	1	0	1396
1	1	0	0	1205
1	0	1	0	0992
1	0	0	0	0802
1	0	1	1	1092
0	1	0	0	0406
0	0	0	1	0107
1	1	0	1	1297
0	1	1	1	0703
1	1	0	0	1210
1	1	0	0	1199
0	0	0	0	-0001
0	0	0	0	-0001
1	1	1	1	1496
0	0	1	1	0301
0	0	1	0	0193
0	0	1	0	0201
0	1	0	1	0497
0	0	1	1	0305
1	0	1	0	0990
1	0	1	1	1103
1	0	1	0	1004
0	1	1	0	0602
1	1	0	0	1204
1	1	1	0	1390
0	1	1	0	0603
1	1	1	0	1393
0	1	1	0	0606
1	0	0	0	0799
0	1	1	1	0697
0	1	1	1	0700
0	0	1	0	0204
1	0	1	1	1092
1	0	1	0	1007
0	1	0	1	0497
1	1	1	1	1503
1	1	1	0	1399
0	1	1	1	0705
0	0	1	0	0205
0	0	1	0	0203
0	0	0	0	-0010
1	1	1	0	1409
0	0	1	1	0304
1	0	0	1	0908
1	1	0	0	1200
1	0	0	0	0795
1	1	1	1	1496
1	1	1	1	1503
1	1	1	0	1405
0	1	0	0	0410
0	0	1	0	0198
1	1	1	0	1397
0	1	1	1	0702
1	1	1	0	1395
1	1	1	0	1391
0	1	1	0	0599
1	1	0	0	1199
0	1	1	0	0607
0	1	0	1	0503
1	1	0	1	1308
0	1	1	1	0703
1	1	1	1	1493
1	1	1	1	1509
0	0	0	0	-0010
0	0	0	1	0094
1	1	0	0	1197
1	1	0	0	1200
1	1	1	1	1497
0	1	1	0	0608
1	1	1	0	1402
1	0	1	1	1109
1	0	1	0	0997
1	0	1	0	1007
1	0	1	1	1106
1	1	0	1	1290
1	0	1	1	1100
0	0	0	1	0096
0	0	1	0	0192
1	0	0	1	0902
0	1	1	0	0600
0	0	1	0	0201
1	0	1	1	1106
1	1	0	0	1209
1	0	0	0	0809
0	0	1	1	0297
1	0	1	1	1102
0	1	1	1	0698
1	1	1	0	1401
1	1	1	0	1407
1	1	1	1	1496
0	0	1	0	0195
1	0	0	0	0806
0	0	1	0	0198
1	0	0	1	0906
0	0	0	0	-0008
0	1	1	1	0693
0	1	0	0	0391
0	0	1	1	0296
1	1	1	0	1402
0	0	0	1	0102
1	1	1	0	1403
1	0	0	1	0896
1	1	1	0	1397
0	0	1	0	0205
0	0	1	0	0194
1	0	0	0	0807
1	1	0	0	1200
1	1	1	0	1392
1	1	0	0	1196
0	1	0	1	0502
1	1	0	0	1196
1	0	1	1	1103
1	0	0	1	0891
0	0	1	1	0301
0	1	1	1	0690
0	0	0	0	0005
0	1	0	0	0398
0	1	1	1	0696
1	0	1	0	1005
0	1	1	0	0601
1	1	0	0	1207
1	0	0	0	0807
0	1	0	1	0497
1	1	0	1	1310
0	0	1	1	0304
0	1	1	0	0608
0	1	1	1	0691
1	1	1	1	1503
1	0	1	1	1094
1	1	1	1	1509
0	0	0	0	0001
0	0	0	1	0094
1	0	0	0	0801
1	0	1	0	1004
0	1	1	0	0600
0	0	0	0	-0003
0	1	0	0	0396
1	0	1	1	1091
0	0	1	1	0310
1	0	0	1	0908
0	1	1	0	0604
0	0	0	1	0097
1	0	0	1	0900
1	0	0	1	0893
1	1	1	1	1497
0	0	0	1	0103
0	0	1	0	0194
1	0	0	1	0901
0	1	1	1	0695
1	0	1	0	0995
1	1	0	1	1291
0	0	1	1	0307
0	1	0	0	0408
0	1	0	1	0509
0	0	0	1	0091
0	0	1	0	0196
0	1	1	0	0594
1	0	0	0	0792
1	1	1	1	1500
0	0	1	0	0199
0	1	1	1	0694
0	1	0	0	0397
1	1	1	1	1495
1	1	1	1	1504
1	1	1	1	1502
0	1	1	1	0702
0	1	0	1	0501
0	1	0	1	0502
1	1	1	0	1407
1	0	1	1	1091
0	0	1	1	0299
0	0	1	0	0193
1	1	1	1	1507
1	1	1	0	1406
1	1	0	0	1203
1	0	1	0	1005
0	1	1	0	0592
1	1	0	1	1290
0	1	1	1	0702
1	1	1	0	1395
0	1	0	1	0507
0	0	0	0	-0001
0	0	0	1	0092
0	1	1	0	0600
